doc_id	adu_id	char_offset	document_predicted	adu_context_predicted	document_probability	adu_context_probability	left_context	right_context
micro_k013	a4	497	true	true	0.89080137	0.78998721	Samstags arbeiten, haben dann allerdings ein Problem: alle anderen können werktags einkaufen gehen,	sie jedoch nicht. Für diese Menschen stellen die späten Schließungszeiten, die inzwischen schon bis
micro_k014	a2	116	true	true	0.78053921	0.86252105	llten stärker vom Parlament kontrolliert werden, denn wie der jüngste NSA-Abhörskandal gezeigt hat,	ist die Landesregierung vermeintlich nicht immer mit den Tätigkeitsbereichen seiner Nachrichtendiens
micro_k020	a4	219	true	false	0.57021934	0.49683186	"der also nicht ab. ""Auge um Auge"" scheint seinen Sinn zu verfehlen. Der Staat soll Morde verhindern"	- nicht rächen. Eine Wiedereinführung der Todesstrafe in Deutschland wäre ein Rückschritt ins Mittel
micro_k022	a5	287	true	true	0.66783345	0.62125903	Sonntag ein Tag des Beisammenseins der Familie sein, sonst wird sich eine neue Freizeitart bilden,	in der die Menschen die Zeit in Supermärkten anstatt draußen oder beim gemeinsamen Gesprächen usw. v
micro_k023	a1	54	true	true	0.98750907	0.97614586	Die BA-Arbeit soll, wenn nicht die Gesamtnote bilden,	dann mindestens einen größeren Anteil daran haben. Denn eine gute Gesamtnote hält zwar viele Türen o
micro_k025	a4	271	false	true	0.23806612	0.62738901	. Es gibt nämlich Straftäter, die gegen gute Verpflegung, keine Steuern, die bezahlt werden müssen,	"kein Stress um die Arbeit, gerne in den Gefängnissen ""leben"". Trotzdem braucht der Staat braucht die"
micro_k025	a4	298	false	true	0.47341082	0.51343638	r, die gegen gute Verpflegung, keine Steuern, die bezahlt werden müssen, kein Stress um die Arbeit,	"gerne in den Gefängnissen ""leben"". Trotzdem braucht der Staat braucht die Todesstrafe als Abschrecku"
micro_k027	a2	203	true	true	0.99122822	0.96112382	n Sender auch nutzen. Schließlich gibt es viele Menschen in Deutschland, die die Beitrage bezahlen,	obwohl sie lediglich einen Rechner zum Arbeiten verwenden. Trotzdem werden die Gebühren von jedem ve
micro_k029	a3	295	true	true	0.92916650	0.90547293	bulanz-fahren zu sparen, dennoch sollten Frauen vor der Einnahme über die Risiken aufgeklärt werden	"und gynäkologisch untersucht werden. Außerdem besteht das Risiko, dass Frauen die rezeptfreie ""Pille"
micro_k031	a6	395	true	true	0.56100094	0.53612202	zu erhöhen ist also der richtige Weg. Eine hundehaufenfreie Stadt wird nicht nur für die Bewohner,	sondern auch für Touristen viel attraktiver sein!
