doc_id	adu_id	char_offset	boundary_probability	after_terminal_punctuation	left_candidate_segment	right_candidate_segment	adu_text
micro_k011	a4	388	0.99769008	false	dann soll es also auch eine Beschränkung geben,	um bösen Überraschungen vorzubeugen.	Wenn es schon Mietpreiserhöhungen gibt, dann soll es also auch eine Beschränkung geben, um bösen Überraschungen vorzubeugen.
micro_k012	a3	346	0.98633528	false	Auch ohne Studiengebühren muss jeder zweite während des Studierens arbeiten	und hat so weniger Zeit für das Lernen und die Freizeit.	Auch ohne Studiengebühren muss jeder zweite während des Studierens arbeiten und hat so weniger Zeit für das Lernen und die Freizeit.
micro_k012	a5	579	0.98725557	false	Doch was bringt eine wunderbar ausgestattete Universität,	wenn sie dem Großteil der schlauen Menschen gar keine Chance gibt, mit der tollen Ausstattung ihren Horizont zu erweitern?	Doch was bringt eine wunderbar ausgestattete Universität, wenn sie dem Großteil der schlauen Menschen gar keine Chance gibt, mit der tollen Ausstattung ihren Horizont zu erweitern?
micro_k013	a2	173	0.99921679	false	Ebenso sollen Feiertage das bleiben, was sie sind:	für die Einen Tage der Einkehr,	Ebenso sollen Feiertage das bleiben, was sie sind: für die Einen Tage der Einkehr, für die anderen bezahlter Urlaub, die nicht vom eigentlichen Urlaub abgehen.
micro_k013	a2	205	0.99458390	false	für die Einen Tage der Einkehr,	für die anderen bezahlter Urlaub,	Ebenso sollen Feiertage das bleiben, was sie sind: für die Einen Tage der Einkehr, für die anderen bezahlter Urlaub, die nicht vom eigentlichen Urlaub abgehen.
micro_k013	a2	239	0.96810782	false	für die anderen bezahlter Urlaub,	die nicht vom eigentlichen Urlaub abgehen.	Ebenso sollen Feiertage das bleiben, was sie sind: für die Einen Tage der Einkehr, für die anderen bezahlter Urlaub, die nicht vom eigentlichen Urlaub abgehen.
micro_k013	a3	299	0.72728610	false	Also ist es gut,	wenn die Geschäfte an Sonn- und Feiertagen nicht öffnen.	Also ist es gut, wenn die Geschäfte an Sonn- und Feiertagen nicht öffnen.
micro_k013	a4	451	0.99942112	false	Menschen, die jedoch unter der Woche und Samstags arbeiten, haben dann allerdings ein Problem:	alle anderen können werktags einkaufen gehen,	Menschen, die jedoch unter der Woche und Samstags arbeiten, haben dann allerdings ein Problem: alle anderen können werktags einkaufen gehen, sie jedoch nicht.
micro_k013	a4	497	0.89080137	false	alle anderen können werktags einkaufen gehen,	sie jedoch nicht.	Menschen, die jedoch unter der Woche und Samstags arbeiten, haben dann allerdings ein Problem: alle anderen können werktags einkaufen gehen, sie jedoch nicht.
micro_k014	a2	116	0.78053921	false	denn wie der jüngste NSA-Abhörskandal gezeigt hat,	ist die Landesregierung vermeintlich nicht immer mit den Tätigkeitsbereichen seiner Nachrichtendienste vertraut.	denn wie der jüngste NSA-Abhörskandal gezeigt hat, ist die Landesregierung vermeintlich nicht immer mit den Tätigkeitsbereichen seiner Nachrichtendienste vertraut.
micro_k020	a4	219	0.57021934	false	Der Staat soll Morde verhindern	- nicht rächen.	Der Staat soll Morde verhindern - nicht rächen.
micro_k022	a5	287	0.66783345	false	sonst wird sich eine neue Freizeitart bilden,	in der die Menschen die Zeit in Supermärkten anstatt draußen oder beim gemeinsamen Gesprächen usw. verbringen.	sonst wird sich eine neue Freizeitart bilden, in der die Menschen die Zeit in Supermärkten anstatt draußen oder beim gemeinsamen Gesprächen usw. verbringen.
micro_k023	a1	54	0.98750907	false	Die BA-Arbeit soll, wenn nicht die Gesamtnote bilden,	dann mindestens einen größeren Anteil daran haben.	Die BA-Arbeit soll, wenn nicht die Gesamtnote bilden, dann mindestens einen größeren Anteil daran haben.
micro_k027	a2	203	0.99122822	false	Schließlich gibt es viele Menschen in Deutschland, die die Beitrage bezahlen,	obwohl sie lediglich einen Rechner zum Arbeiten verwenden.	Schließlich gibt es viele Menschen in Deutschland, die die Beitrage bezahlen, obwohl sie lediglich einen Rechner zum Arbeiten verwenden.
micro_k029	a3	295	0.92916650	false	dennoch sollten Frauen vor der Einnahme über die Risiken aufgeklärt werden	und gynäkologisch untersucht werden.	dennoch sollten Frauen vor der Einnahme über die Risiken aufgeklärt werden und gynäkologisch untersucht werden.
micro_k031	a6	395	0.56100094	false	Eine hundehaufenfreie Stadt wird nicht nur für die Bewohner,	sondern auch für Touristen viel attraktiver sein!	Eine hundehaufenfreie Stadt wird nicht nur für die Bewohner, sondern auch für Touristen viel attraktiver sein!
